,University Names
0,Abhilashi University
1,Acharya N.G. Ranga Agricultural University
2,Acharya Nagarjuna University
3,Adamas University
4,Adesh University
5,Adikavi Nannaya University
6,Ahmedabad University
7,Ajeenkya D.Y. Patil University
8,Akal University
9,AKS University
10,Alagappa University
11,Alakh Prakash Goyal Shimla University
12,Al-Falah University
13,Aliah University
14,Aligarh Muslim University
15,All India Institute of Medical Sciences Bhopal
16,All India Institute of Medical Sciences Bhubaneswar
17,All India Institute of Medical Sciences Delhi
18,All India Institute of Medical Sciences Jodhpur
19,All India Institute of Medical Sciences Patna
20,All India Institute of Medical Sciences Raipur
21,All India Institute of Medical Sciences Rishikesh
22,Allahabad State University
23,Alliance University
24,Ambedkar University Delhi
25,Amity University
26,Amrita Vishwa Vidyapeetham
27,Anand Agricultural University
28,Anant National University
29,Andhra University
30,Anna University
31,Annamalai University
32,Apeejay Stya University
33,Apex Professional University
34,Apex University
35,APJ Abdul Kalam Technological University
36,Arka Jain University
37,Arni University
38,Arunachal University of Studies
39,Arunodaya University
40,Aryabhatta Knowledge University
41,Ashoka University
42,Assam Agricultural University
43,Assam Don Bosco University
44,Assam Down Town University
45,Assam Rajiv Gandhi University of Cooperative Management
46,Assam Science and Technology University
47,Assam University
48,Assam Women's University
49,Atal Bihari Vajpayee Hindi Vishwavidyalaya
50,Atal Bihari Vajpayee Vishwavidyalaya
51,Atmiya University
52,AURO University
53,Avantika University
54,Avinashilingam University
55,Awadhesh Pratap Singh University
56,Ayush and Health Sciences University of Chhattisgarh
57,Azim Premji University
58,B.S. Abdur Rahman Crescent Institute of Science and Technology
59,Baba Farid University of Health Sciences
60,Baba Ghulam Shah Badhshah University
61,Baba Mastnath University
62,Babasaheb Bhimrao Ambedkar Bihar University
63,Babasaheb Bhimrao Ambedkar University
64,Babu Banarasi Das University
65,Baddi University of Emerging Sciences and Technologies
66,BAHRA University
67,Banaras Hindu University
68,Banasthali Vidyapith
69,Banda University of Agriculture and Technology
70,Bangalore University
71,Bankura University
72,Bareilly International University
73,Barkatullah University
74,Bastar Vishwavidyalaya
75,Bengaluru North University
76,Bennett University
77,Berhampur University
78,Bhagat Phool Singh Mahila Vishwavidyalaya
79,Bhagwant University
